datetime,PCO2_Corr_filtered,phcalc,pH_calc_norm4
2016-09-09T09:00:00Z,220.34146401886792,NA,NA
2016-09-09T08:00:00Z,221.94650585,NA,NA
2016-09-09T07:00:00Z,220.74671676666668,NA,NA
2016-09-09T06:00:00Z,216.1567786,NA,NA
2016-09-09T05:00:00Z,215.16245353333332,NA,NA
2016-09-09T04:00:00Z,227.81770041666667,NA,NA
2016-09-09T03:00:00Z,227.35277578333333,NA,NA
2016-09-09T02:00:00Z,226.49578618965518,NA,NA
2016-09-09T01:00:00Z,226.2375,NA,NA
2016-09-09T00:00:00Z,NaN,NA,NA
2016-09-08T23:00:00Z,222.91722456666668,NA,NA
2016-09-08T22:00:00Z,219.56803483333334,NA,NA
2016-09-08T21:00:00Z,221.6751759259259,NA,NA
2016-09-08T20:00:00Z,219.59213333333332,NA,NA
2016-09-08T19:00:00Z,217.45132763333334,NA,NA
2016-09-08T18:00:00Z,213.11924166666665,NA,NA
2016-09-08T17:00:00Z,210.77021666666667,NA,NA
2016-09-08T16:00:00Z,211.48498333333333,NA,NA
2016-09-08T15:00:00Z,211.49971666666667,NA,NA
2016-09-08T14:00:00Z,209.16200833333335,NA,NA
2016-09-08T13:00:00Z,208.7242,NA,NA
2016-09-08T12:00:00Z,NaN,NA,NA
2016-09-08T11:00:00Z,219.35598333333334,8.10660442312565,NA
2016-09-08T10:00:00Z,219.61876666666666,NA,NA
2016-09-08T09:00:00Z,221.182025,NA,NA
2016-09-08T08:00:00Z,225.83698,NA,NA
2016-09-08T07:00:00Z,228.924375,NA,NA
2016-09-08T06:00:00Z,223.5105794,NA,NA
